"city","year","weekofyear","total_cases"
"sj",2011,28,64
"sj",2011,29,34
"sj",2011,30,64
"sj",2011,31,33
"sj",2011,32,106
"sj",2011,33,43
"sj",2011,34,123
"sj",2011,35,48
"sj",2011,36,40
"sj",2011,37,54
"sj",2011,38,39
"sj",2011,39,47
"sj",2011,40,94
"sj",2011,41,70
"sj",2011,42,33
"sj",2011,43,39
"sj",2011,44,44
"sj",2011,45,44
"sj",2011,46,28
"sj",2011,47,49
"sj",2011,48,51
"sj",2011,49,48
"sj",2011,50,65
"sj",2011,51,30
"sj",2012,52,37
"sj",2012,1,38
"sj",2012,2,28
"sj",2012,3,25
"sj",2012,4,27
"sj",2012,5,23
"sj",2012,6,19
"sj",2012,7,16
"sj",2012,8,20
"sj",2012,9,16
"sj",2012,10,18
"sj",2012,11,15
"sj",2012,12,11
"sj",2012,13,17
"sj",2012,14,16
"sj",2012,15,11
"sj",2012,16,16
"sj",2012,17,13
"sj",2012,18,18
"sj",2012,19,15
"sj",2012,20,22
"sj",2012,21,16
"sj",2012,22,14
"sj",2012,23,23
"sj",2012,24,33
"sj",2012,25,63
"sj",2012,26,53
"sj",2012,27,24
"sj",2012,28,21
"sj",2012,29,34
"sj",2012,30,47
"sj",2012,31,30
"sj",2012,32,53
"sj",2012,33,47
"sj",2012,34,43
"sj",2012,35,35
"sj",2012,36,99
"sj",2012,37,123
"sj",2012,38,114
"sj",2012,39,85
"sj",2012,40,62
"sj",2012,41,40
"sj",2012,42,50
"sj",2012,43,39
"sj",2012,44,67
"sj",2012,45,55
"sj",2012,46,43
"sj",2012,47,42
"sj",2012,48,37
"sj",2012,49,45
"sj",2012,50,40
"sj",2012,51,27
"sj",2013,1,33
"sj",2013,2,44
"sj",2013,3,26
"sj",2013,4,19
"sj",2013,5,33
"sj",2013,6,18
"sj",2013,7,16
"sj",2013,8,16
"sj",2013,9,13
"sj",2013,10,16
"sj",2013,11,13
"sj",2013,12,10
"sj",2013,13,13
"sj",2013,14,14
"sj",2013,15,16
"sj",2013,16,15
"sj",2013,17,14
"iq",2010,26,9
"iq",2010,27,5
"iq",2010,28,13
"iq",2010,29,4
"iq",2010,30,3
"iq",2010,31,6
"iq",2010,32,4
"iq",2010,33,4
"iq",2010,34,3
"iq",2010,35,7
"iq",2010,36,10
"iq",2010,37,5
"iq",2010,38,12
"iq",2010,39,7
"iq",2010,40,17
"iq",2010,41,10
"iq",2010,42,16
"iq",2010,43,11
"iq",2010,44,11
"iq",2010,45,13
"iq",2010,46,12
"iq",2010,47,11
"iq",2010,48,11
"iq",2010,49,12
"iq",2010,50,19
"iq",2010,51,12
"iq",2011,52,9
"iq",2011,1,17
"iq",2011,2,11
"iq",2011,3,12
"iq",2011,4,12
"iq",2011,5,13
"iq",2011,6,16
"iq",2011,7,16
"iq",2011,8,15
"iq",2011,9,14
"iq",2011,10,8
"iq",2011,11,10
"iq",2011,12,9
"iq",2011,13,10
"iq",2011,14,8
"iq",2011,15,7
"iq",2011,16,8
"iq",2011,17,7
"iq",2011,18,8
"iq",2011,19,5
"iq",2011,20,7
"iq",2011,21,5
"iq",2011,22,4
"iq",2011,23,4
"iq",2011,24,4
"iq",2011,25,4
"iq",2011,26,3
"iq",2011,27,5
"iq",2011,28,3
"iq",2011,29,4
"iq",2011,30,3
"iq",2011,31,4
"iq",2011,32,4
"iq",2011,33,4
"iq",2011,34,4
"iq",2011,35,4
"iq",2011,36,4
"iq",2011,37,7
"iq",2011,38,7
"iq",2011,39,15
"iq",2011,40,9
"iq",2011,41,7
"iq",2011,42,11
"iq",2011,43,13
"iq",2011,44,11
"iq",2011,45,12
"iq",2011,46,16
"iq",2011,47,10
"iq",2011,48,8
"iq",2011,49,17
"iq",2011,50,30
"iq",2011,51,15
"iq",2012,52,8
"iq",2012,1,13
"iq",2012,2,12
"iq",2012,3,11
"iq",2012,4,12
"iq",2012,5,18
"iq",2012,6,18
"iq",2012,7,12
"iq",2012,8,14
"iq",2012,9,10
"iq",2012,10,8
"iq",2012,11,4
"iq",2012,12,5
"iq",2012,13,9
"iq",2012,14,7
"iq",2012,15,7
"iq",2012,16,9
"iq",2012,17,8
"iq",2012,18,7
"iq",2012,19,4
"iq",2012,20,7
"iq",2012,21,3
"iq",2012,22,5
"iq",2012,23,5
"iq",2012,24,3
"iq",2012,25,5
"iq",2012,26,4
"iq",2012,27,3
"iq",2012,28,4
"iq",2012,29,6
"iq",2012,30,5
"iq",2012,31,3
"iq",2012,32,4
"iq",2012,33,6
"iq",2012,34,6
"iq",2012,35,8
"iq",2012,36,4
"iq",2012,37,4
"iq",2012,38,6
"iq",2012,39,9
"iq",2012,40,8
"iq",2012,41,11
"iq",2012,42,13
"iq",2012,43,13
"iq",2012,44,13
"iq",2012,45,13
"iq",2012,46,15
"iq",2012,47,31
"iq",2012,48,12
"iq",2012,49,18
"iq",2012,50,14
"iq",2012,51,9
"iq",2013,1,14
"iq",2013,2,16
"iq",2013,3,13
"iq",2013,4,18
"iq",2013,5,21
"iq",2013,6,14
"iq",2013,7,16
"iq",2013,8,15
"iq",2013,9,14
"iq",2013,10,10
"iq",2013,11,11
"iq",2013,12,9
"iq",2013,13,8
"iq",2013,14,10
"iq",2013,15,7
"iq",2013,16,8
"iq",2013,17,7
"iq",2013,18,7
"iq",2013,19,9
"iq",2013,20,8
"iq",2013,21,4
"iq",2013,22,5
"iq",2013,23,4
"iq",2013,24,3
"iq",2013,25,5
"iq",2013,26,5
